NIM;Kepulauan Asal Lahir;Jurusan Sekolah;Profil Sekolah;Jalur Pendaftaran;IPK1;IPK2;IPK3;IPK4;jumlah Matakuliah D/E/F;jumlah sks d/e/f;IPK 60 SKS;total sks semester 1-3;total SKS semester 1-4;Status
579d49d028737cd21a67f79aeacdf77b;Jawa;SMA;SWASTA;TES;3.78;3.68;3.72;3.79;0;0;3.94;60;82;TIDAK SISIP
583e42e2b59e5ccfc10806b263bca378;Jawa;SMK;NEGERI;RAPORT;4;3.78;3.8;3.74;0;0;3.85;60;82;TIDAK SISIP
5d1fe0f367a24b4e44a344a6785082a7;Bali & NTT;SMK;SWASTA;TES;0.61;0.61;0.61;0.61;5;15;0.61;18;18;SISIP
5d2c64a09fca2dc46f8d704e7a9f48b4;Kalimantan;SMA;NEGERI;TES;2.53;2.31;2.31;2.31;9;30;1.26;58;74;SISIP
5ddd12a4eeff64864c3090307ee28beb;Bali & NTT;SMA;NEGERI;TES;2.78;2.67;2.66;2.78;1;2;2.93;58;79;TIDAK SISIP
5e2a82f07e8daf496597bcc353b44847;Kalimantan;SMA;NEGERI;RAPORT;1.94;2.27;2.25;2.45;4;12;2.66;58;79;TIDAK SISIP
5e2cc5df4c3a8fe3d42005409a7d3c81;Jawa;SMA;SWASTA;TES;3.44;3.45;3.37;3.42;0;0;3.48;60;79;TIDAK SISIP
5f3d8cefe3f8225a73a8dad0bc87ee3f;Kalimantan;SMA;NEGERI;RAPORT;2.39;2.45;2.38;2.43;2;5;2.62;58;77;TIDAK SISIP
62898b520eaf205f48b7a729881399a9;Jawa;SMA;NEGERI;RAPORT;3.83;3.58;3.24;3.16;0;0;3.47;58;79;TIDAK SISIP
685e6d16f0eb986646971b871d00e72d;Jawa;SMA;NEGERI;TES;3.81;3.71;3.66;3.69;1;2;3.68;60;79;TIDAK SISIP
6b3f3de7f52675322ef3b7c4e36cb537;Kalimantan;SMK;NEGERI;TES;0.5;0.5;0.5;0.5;5;15;0.50;18;18;SISIP
6e0b68bed6cdf7feda8b41707f85ec29;Jawa;SMA;NEGERI;RAPORT;2.72;2.68;2.55;2.55;0;0;2.69;58;77;TIDAK SISIP
6e78b211ff6eee2914bca6107740e938;Sumatera;SMA;SWASTA;RAPORT;1.22;0.68;0.68;0.68;9;26;0.68;38;38;SISIP
6ef1c7f247dc85052e8adb52ed536e9b;Sumatera;SMA;NEGERI;TES;3.17;2.82;2.95;3.05;1;3;3.23;60;79;TIDAK SISIP
71c72f559a6a54a143b777ec01319be8;Jawa;SMA;NEGERI;RAPORT;3.33;3.63;3.59;3.57;0;0;3.68;58;77;TIDAK SISIP
7241e5ac2302d34032b48acd12262020;Bali & NTT;SMA;NEGERI;TES;3.22;3.12;3.35;3.33;0;0;3.50;60;82;TIDAK SISIP
7771954db29148eb9ac7ef7b72564bff;Kalimantan;SMK;SWASTA;TES;0;0;0;0;11;34;0.00;38;38;SISIP
7880812cf1b154479bf468a7e8bb7215;Jawa;SMA;SWASTA;RAPORT;1.94;1.21;1.21;1.21;8;24;1.21;38;38;SISIP
788cabf2233bbc704df909590abb972c;Kalimantan;SMA;NEGERI;TES;3.17;3.08;3.21;3.24;0;0;3.26;60;79;TIDAK SISIP
812d60daa7c6e8b17cb95dd495013aed;Jawa;SMA;SWASTA;TES;3.11;3.05;2.91;2.81;1;2;3.02;58;79;TIDAK SISIP
81cd8ddf195c9889e57fbcfefa1b6d04;Bali & NTT;SMA;SWASTA;TES;2.39;2.59;2.67;2.49;4;10;2.65;60;79;TIDAK SISIP
82b093c095630d76e7e37172c6fc65c1;Jawa;SMA;SWASTA;TES;3.28;3.16;3.22;3.14;1;3;3.20;58;77;TIDAK SISIP
86f2b0814e9b209156e53c5e470357f3;Bali & NTT;SMA;NEGERI;TES;2.5;2.66;2.58;2.45;3;8;2.82;58;77;TIDAK SISIP
899b8ddbe1d0dd41117401b11818ba99;Jawa;SMA;NEGERI;RAPORT;3.39;3.34;3.17;3.19;0;0;3.37;58;79;TIDAK SISIP
8b9d0a5f47b7d487415d967a6e0ff14e;Sumatera;SMA;SWASTA;RAPORT;3.78;3.53;3.41;3.27;0;0;3.53;58;77;TIDAK SISIP
8c13fb2b2dc7797793ff4406b85bc638;Sumatera;SMA;SWASTA;RAPORT;3;3;2.87;2.92;2;6;3.08;58;80;TIDAK SISIP
8e1e7246d65a0829f5b034d4e2f33531;Jawa;SMA;NEGERI;TES;2.39;2.42;1.67;1.67;9;26;1.53;60;60;SISIP
92e2fcca51ebc6619cce5578e37d31a1;Jawa;SMA;SWASTA;TES;3.56;3.6;3.67;3.59;0;0;3.63;60;79;TIDAK SISIP
